level_0,index,Type,Title/ID,Points,Question Wording,Correct Answer,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Choice 8,Choice 9,Choice 10,General Feedback,Correct Feedback,Incorrect Feedback,Feedback 1,Feedback 2,Feedback 3,Feedback 4,Feedback 5,Feedback 6,Feedback 7,Feedback 8,Feedback 9,Feedback 10,Topic,Difficulty Level,Meta 1,Meta 2,Meta 3,Meta 4
0,0,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 3.0. The second has a moment magnitude of 5.0. Roughly how much more energy was released in the second earthquake compared to the first?,4,3 x,10 x,30 x,"1,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
1,1,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 3.1. The second has a moment magnitude of 4.1. Roughly how much more energy was released in the second earthquake compared to the first?,1,30 x,100 x,"1,000 x","10,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
2,2,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 3.2. The second has a moment magnitude of 6.2. Roughly how much more energy was released in the second earthquake compared to the first?,4,10 x,30 x,100 x,"33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
3,3,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 3.3. The second has a moment magnitude of 6.3. Roughly how much more energy was released in the second earthquake compared to the first?,5,3 x,100 x,"1,000 x","10,000 x","33,000 x",,,,,,,,,,,,,,,,,,,,,,,,
4,4,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 3.4. The second has a moment magnitude of 6.4. Roughly how much more energy was released in the second earthquake compared to the first?,4,30 x,100 x,"10,000 x","33,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
5,5,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 3.5. The second has a moment magnitude of 6.5. Roughly how much more energy was released in the second earthquake compared to the first?,4,3 x,30 x,"10,000 x","33,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
6,6,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 3.6. The second has a moment magnitude of 7.6. Roughly how much more energy was released in the second earthquake compared to the first?,5,10 x,100 x,"1,000 x","33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
7,7,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 3.7. The second has a moment magnitude of 4.7. Roughly how much more energy was released in the second earthquake compared to the first?,1,30 x,100 x,"1,000 x","10,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
8,8,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 3.8. The second has a moment magnitude of 5.8. Roughly how much more energy was released in the second earthquake compared to the first?,3,3 x,100 x,"1,000 x","33,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
9,9,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 3.9. The second has a moment magnitude of 7.9. Roughly how much more energy was released in the second earthquake compared to the first?,5,100 x,"1,000 x","10,000 x","33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
