index,Type,Title/ID,Points,Question Wording,Correct Answer,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Choice 8,Choice 9,Choice 10,General Feedback,Correct Feedback,Incorrect Feedback,Feedback 1,Feedback 2,Feedback 3,Feedback 4,Feedback 5,Feedback 6,Feedback 7,Feedback 8,Feedback 9,Feedback 10,Topic,Difficulty Level,Meta 1,Meta 2,Meta 3,Meta 4
0,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 3.0 on the Richter scale. The second measures 5.0. How much larger is the amplitude of shaking in the second earthquake compared to the first?,2,10 x,100 x,"10,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
1,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 3.1 on the Richter scale. The second measures 4.1. How much larger is the amplitude of shaking in the second earthquake compared to the first?,2,3 x,10 x,30 x,"10,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
2,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 3.2 on the Richter scale. The second measures 6.2. How much larger is the amplitude of shaking in the second earthquake compared to the first?,3,3 x,30 x,"1,000 x","33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
3,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 3.3 on the Richter scale. The second measures 6.3. How much larger is the amplitude of shaking in the second earthquake compared to the first?,3,10 x,100 x,"1,000 x","33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
4,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 3.4 on the Richter scale. The second measures 6.4. How much larger is the amplitude of shaking in the second earthquake compared to the first?,3,30 x,100 x,"1,000 x","33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
5,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 3.5 on the Richter scale. The second measures 6.5. How much larger is the amplitude of shaking in the second earthquake compared to the first?,3,3 x,30 x,"1,000 x","33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
6,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 3.6 on the Richter scale. The second measures 7.6. How much larger is the amplitude of shaking in the second earthquake compared to the first?,4,3 x,10 x,100 x,"10,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
7,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 3.7 on the Richter scale. The second measures 4.7. How much larger is the amplitude of shaking in the second earthquake compared to the first?,2,3 x,10 x,30 x,100 x,"100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
8,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 3.8 on the Richter scale. The second measures 5.8. How much larger is the amplitude of shaking in the second earthquake compared to the first?,1,100 x,"1,000 x","10,000 x","33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
9,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 3.9 on the Richter scale. The second measures 7.9. How much larger is the amplitude of shaking in the second earthquake compared to the first?,3,10 x,100 x,"10,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
10,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 4.0 on the Richter scale. The second measures 6.0. How much larger is the amplitude of shaking in the second earthquake compared to the first?,2,30 x,100 x,"1,000 x","10,000 x","33,000 x",,,,,,,,,,,,,,,,,,,,,,,,
